Column,Min,Max,Scale
ep_lag_1,-1095.65,1526.55,2622.2
ep_lag_24,-1095.65,1526.55,2622.2
ep_lag_168,-1095.65,1526.55,2622.2
ep_rolling_mean_24,-446.4825,1093.8191666666667,1540.3016666666667
dahtl_totalLoadValue,-215.0,5329.0,5544.0
dahtl_lag_1h,-215.0,5329.0,5544.0
dahtl_lag_24h,-215.0,5329.0,5544.0
dahtl_lag_168h,-215.0,5329.0,5544.0
dahtl_rolling_mean_24h,732.0833333333335,4354.75,3622.6666666666665
dahtl_rolling_mean_168h,1249.9642857142858,3804.750000000001,2554.785714285715
atl_totalLoadValue,-839.5600000000002,6882.96,7722.52
atl_lag_1h,-839.5600000000002,6882.96,7722.52
atl_lag_24h,-839.5600000000002,6882.96,7722.52
atl_lag_168h,-839.5600000000002,6882.96,7722.52
atl_rolling_mean_24h,710.7150000000001,4358.796666666667,3648.081666666667
atl_rolling_mean_168h,1253.8404464285709,3790.9881845238097,2537.1477380952388
temperature_2m,-32.923,48.376999999999995,81.3
wind_speed_10m,-26.80578503,81.85735500999999,108.66314003999999
wind_direction_10m,-179.21872839,539.7395761299999,718.95830452
cloudcover,-48.5,149.5,198.0
shortwave_radiation,-430.5,1295.5,1726.0
temperature_2m_lag1,-32.923,48.376999999999995,81.3
wind_speed_10m_lag1,-26.80578503,81.85735500999999,108.66314003999999
wind_direction_10m_lag1,-179.21872839,539.7395761299999,718.95830452
cloudcover_lag1,-48.5,149.5,198.0
shortwave_radiation_lag1,-430.5,1295.5,1726.0
temperature_2m_lag24,-32.923,48.376999999999995,81.3
wind_speed_10m_lag24,-26.80578503,81.85735500999999,108.66314003999999
wind_direction_10m_lag24,-179.21872839,539.7395761299999,718.95830452
cloudcover_lag24,-48.5,149.5,198.0
shortwave_radiation_lag24,-430.5,1295.5,1726.0
temperature_2m_lag168,-32.923,48.376999999999995,81.3
wind_speed_10m_lag168,-26.80578503,81.85735500999999,108.66314003999999
wind_direction_10m_lag168,-179.21872839,539.7395761299999,718.95830452
cloudcover_lag168,-48.5,149.5,198.0
shortwave_radiation_lag168,-430.5,1295.5,1726.0
ftc_DE_LU,-500.0,3500.0,4000.0
ftc_GB,800.0,800.0,0.0
ftc_NL,100.0,900.0,800.0
Natural_Gas_price_EUR,-164.3325,507.0375,671.37
Natural_Gas_price_EUR_lag_1d,-164.3325,507.0375,671.37
Natural_Gas_price_EUR_lag_7d,-164.3325,507.0375,671.37
Natural_Gas_rolling_mean_24h,-103.77857142857144,320.03285714285715,423.81142857142856
Coal_price_EUR,-161.275,638.225,799.5
Coal_price_EUR_lag_1d,-161.275,638.225,799.5
Coal_price_EUR_lag_7d,-161.275,638.225,799.5
Coal_rolling_mean_7d,-119.92,435.44000000000005,555.36
Oil_price_EUR,-32.0337985,167.2976515,199.33145000000002
Oil_price_EUR_lag_1d,-32.0337985,167.2976515,199.33145000000002
Oil_price_EUR_lag_7d,-32.0337985,167.2976515,199.33145000000002
Oil_rolling_mean_7d,-21.211623642857145,117.73075607142857,138.94237971428572
Carbon_Emission_price_EUR,-24.825,138.955,163.78
Carbon_Emission_price_EUR_lag_1d,-24.825,138.955,163.78
Carbon_Emission_price_EUR_lag_7d,-24.825,138.955,163.78
Carbon_Emission_rolling_mean_7d,-20.875714285714285,98.21571428571428,119.09142857142857
Price[Currency/MWh],-1095.65,1526.55,2622.2
