date,hour,day_x,weekday_x,month_x,weekend_x,season_x,ftc_IT-Sardinia,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation,temperature_2m_lag1,wind_speed_10m_lag1,wind_direction_10m_lag1,cloudcover_lag1,shortwave_radiation_lag1,temperature_2m_lag24,wind_speed_10m_lag24,wind_direction_10m_lag24,cloudcover_lag24,shortwave_radiation_lag24,Natural_Gas_price_EUR,Natural_Gas_price_EUR_lag_1d,Coal_price_EUR,Coal_price_EUR_lag_1d,Oil_price_EUR,Oil_price_EUR_lag_1d,Carbon_Emission_price_EUR,Carbon_Emission_price_EUR_lag_1d,Electricity_price_MWh
2025-01-01 00:00:00,0,1,2,1,0,0,20.0,3.4865003,2.3681777,252.92023,16.5,0.0,3.8365,2.3437436,249.18327,11.5,0.0,4.3865004,1.4982845,237.6731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 01:00:00,1,1,2,1,0,0,20.0,2.9115,2.8279414,260.7826,21.5,0.0,3.4865003,2.3681777,252.92023,16.5,0.0,2.8615,3.3075957,253.51108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 02:00:00,2,1,2,1,0,0,20.0,2.4115,4.264344,262.7219,43.5,0.0,2.9115,2.8279414,260.7826,21.5,0.0,2.6865,4.2525134,254.27686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 03:00:00,3,1,2,1,0,0,20.0,2.2865,4.3478327,267.36615,90.5,0.0,2.4115,4.264344,262.7219,43.5,0.0,2.4865,3.593258,248.01607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 04:00:00,4,1,2,1,0,0,20.0,2.0365,3.7831306,258.66776,79.0,0.0,2.2865,4.3478327,267.36615,90.5,0.0,2.4115,3.4913125,241.4034,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 05:00:00,5,1,2,1,0,0,20.0,1.8615,3.8449717,253.47586,32.0,0.0,1.8615,3.8449717,253.47586,32.0,0.0,9.4865,2.6460543,252.46829,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 06:00:00,6,1,2,1,0,0,25.0,1.6615001,3.8274868,255.81781,29.0,0.0,1.8615,3.8449717,253.47586,32.0,0.0,11.136499,1.1734564,286.2356,0.0,374.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 07:00:00,7,1,2,1,0,0,25.0,1.5864999,3.7586606,248.25375,45.5,0.0,1.6615001,3.8274868,255.81781,29.0,0.0,11.5865,4.278551,206.565,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 08:00:00,8,1,2,1,0,0,25.0,1.5615,3.6051822,244.35226,54.5,3.5,1.5864999,3.7586606,248.25375,45.5,0.0,9.5365,2.91784,211.76714,0.5,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 09:00:00,9,1,2,1,0,0,25.0,3.3865001,5.2945547,250.12692,48.5,75.5,1.5615,3.6051822,244.35226,54.5,3.5,6.7365,1.9343181,187.01813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 10:00:00,10,1,2,1,0,0,25.0,5.5115004,4.5422835,253.26984,54.5,191.0,5.5115004,4.5422835,253.26984,54.5,191.0,4.4865,1.8127921,247.49994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 11:00:00,11,1,2,1,0,0,25.0,7.8365,3.165142,262.7445,4.5,294.5,7.8365,3.165142,262.7445,4.5,294.5,3.8365,2.3437436,249.18327,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 12:00:00,12,1,2,1,0,0,25.0,9.4365,1.7496647,166.05136,6.0,364.5,7.8365,3.165142,262.7445,4.5,294.5,3.4865003,2.3681777,252.92023,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 13:00:00,13,1,2,1,0,0,25.0,10.261499,3.4057465,199.7798,9.5,379.5,9.4365,1.7496647,166.05136,6.0,364.5,2.9115,2.8279414,260.7826,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 14:00:00,14,1,2,1,0,0,25.0,11.011499,3.7131135,64.77298,14.0,320.0,10.261499,3.4057465,199.7798,9.5,379.5,2.4115,4.264344,262.7219,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 15:00:00,15,1,2,1,0,0,25.0,10.7865,4.625657,80.507034,9.0,234.0,11.011499,3.7131135,64.77298,14.0,320.0,2.2865,4.3478327,267.36615,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 16:00:00,16,1,2,1,0,0,25.0,9.6115,3.9369836,82.98181,10.0,116.0,10.7865,4.625657,80.507034,9.0,234.0,2.0365,3.7831306,258.66776,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 17:00:00,17,1,2,1,0,0,25.0,7.2365003,2.8828096,91.78813,4.0,14.5,7.2365003,2.8828096,91.78813,4.0,14.5,1.8615,3.8449717,253.47586,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 18:00:00,18,1,2,1,0,0,25.0,6.6615,1.6751571,132.90753,11.5,0.0,7.2365003,2.8828096,91.78813,4.0,14.5,1.6615001,3.8274868,255.81781,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 19:00:00,19,1,2,1,0,0,25.0,5.5865,3.5446541,204.54272,27.5,0.0,6.6615,1.6751571,132.90753,11.5,0.0,1.5864999,3.7586606,248.25375,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 20:00:00,20,1,2,1,0,0,25.0,4.9365,4.783858,216.58235,68.5,0.0,5.5865,3.5446541,204.54272,27.5,0.0,1.5615,3.6051822,244.35226,54.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 21:00:00,21,1,2,1,0,0,25.0,4.6115,4.8029532,215.17307,99.0,0.0,4.9365,4.783858,216.58235,68.5,0.0,3.3865001,5.2945547,250.12692,48.5,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 22:00:00,22,1,2,1,0,0,20.0,4.2115,4.0829554,220.07819,100.0,0.0,4.2115,4.0829554,220.07819,100.0,0.0,5.5115004,4.5422835,253.26984,54.5,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-01 23:00:00,23,1,2,1,0,0,20.0,3.9115002,3.7313256,236.10657,98.0,0.0,4.2115,4.0829554,220.07819,100.0,0.0,7.8365,3.165142,262.7445,4.5,294.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02 00:00:00,0,2,3,1,0,0,20.0,3.7615001,4.1114235,237.94116,92.5,0.0,3.9115002,3.7313256,236.10657,98.0,0.0,7.8365,3.165142,262.7445,4.5,294.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 01:00:00,1,2,3,1,0,0,20.0,3.6115,4.4282646,243.01373,89.0,0.0,3.7615001,4.1114235,237.94116,92.5,0.0,9.4365,1.7496647,166.05136,6.0,364.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 02:00:00,2,2,3,1,0,0,20.0,3.4615002,4.881302,243.28864,89.5,0.0,3.6115,4.4282646,243.01373,89.0,0.0,9.4365,1.7496647,166.05136,6.0,364.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 03:00:00,3,2,3,1,0,0,20.0,3.3865001,5.1734996,229.60544,84.0,0.0,3.4615002,4.881302,243.28864,89.5,0.0,10.261499,3.4057465,199.7798,9.5,379.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 04:00:00,4,2,3,1,0,0,20.0,3.1115,4.854701,229.06496,74.0,0.0,3.3865001,5.1734996,229.60544,84.0,0.0,10.261499,3.4057465,199.7798,9.5,379.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 05:00:00,5,2,3,1,0,0,20.0,2.7115002,5.1286025,238.2666,65.0,0.0,3.1115,4.854701,229.06496,74.0,0.0,11.011499,3.7131135,64.77298,14.0,320.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 06:00:00,6,2,3,1,0,0,20.0,2.3615,5.0952444,234.10425,74.5,0.0,2.7115002,5.1286025,238.2666,65.0,0.0,11.011499,3.7131135,64.77298,14.0,320.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 07:00:00,7,2,3,1,0,0,25.0,1.9865,5.352128,225.64877,85.0,0.0,2.3615,5.0952444,234.10425,74.5,0.0,10.7865,4.625657,80.507034,9.0,234.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 08:00:00,8,2,3,1,0,0,25.0,1.9614999,5.441374,222.8007,71.0,3.0,1.9865,5.352128,225.64877,85.0,0.0,10.7865,4.625657,80.507034,9.0,234.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 09:00:00,9,2,3,1,0,0,25.0,3.7865,7.1784973,228.40602,44.5,70.0,1.9614999,5.441374,222.8007,71.0,3.0,9.6115,3.9369836,82.98181,10.0,116.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 10:00:00,10,2,3,1,0,0,25.0,5.8615003,7.3543878,215.0813,14.5,187.5,3.7865,7.1784973,228.40602,44.5,70.0,9.6115,3.9369836,82.98181,10.0,116.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 11:00:00,11,2,3,1,0,0,25.0,8.3865,6.4746027,199.18289,8.0,298.0,5.8615003,7.3543878,215.0813,14.5,187.5,7.2365003,2.8828096,91.78813,4.0,14.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 12:00:00,12,2,3,1,0,0,25.0,10.4865,4.003223,164.70786,5.0,354.0,8.3865,6.4746027,199.18289,8.0,298.0,7.2365003,2.8828096,91.78813,4.0,14.5,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 13:00:00,13,2,3,1,0,0,25.0,11.536499,5.3036737,173.92949,9.0,372.5,10.4865,4.003223,164.70786,5.0,354.0,6.6615,1.6751571,132.90753,11.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 14:00:00,14,2,3,1,0,0,25.0,12.161499,11.053873,162.59311,8.0,311.0,11.536499,5.3036737,173.92949,9.0,372.5,6.6615,1.6751571,132.90753,11.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 15:00:00,15,2,3,1,0,0,25.0,11.9615,8.989208,139.01672,15.5,230.5,12.161499,11.053873,162.59311,8.0,311.0,5.5865,3.5446541,204.54272,27.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 16:00:00,16,2,3,1,0,0,25.0,10.886499,7.041998,191.50128,37.5,114.0,11.9615,8.989208,139.01672,15.5,230.5,5.5865,3.5446541,204.54272,27.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 17:00:00,17,2,3,1,0,0,25.0,8.686501,4.0917487,194.52722,16.5,14.5,10.886499,7.041998,191.50128,37.5,114.0,4.9365,4.783858,216.58235,68.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 18:00:00,18,2,3,1,0,0,25.0,8.0115,7.091538,163.49106,34.5,0.0,8.686501,4.0917487,194.52722,16.5,14.5,4.9365,4.783858,216.58235,68.5,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 19:00:00,19,2,3,1,0,0,25.0,7.1365004,8.767828,184.79547,31.0,0.0,8.0115,7.091538,163.49106,34.5,0.0,4.6115,4.8029532,215.17307,99.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 20:00:00,20,2,3,1,0,0,25.0,6.5115004,10.040258,188.5062,39.0,0.0,7.1365004,8.767828,184.79547,31.0,0.0,4.6115,4.8029532,215.17307,99.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 21:00:00,21,2,3,1,0,0,25.0,6.9365005,11.787588,197.50952,39.0,0.0,6.5115004,10.040258,188.5062,39.0,0.0,4.2115,4.0829554,220.07819,100.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 22:00:00,22,2,3,1,0,0,20.0,7.8865004,15.636248,196.52338,70.0,0.0,6.9365005,11.787588,197.50952,39.0,0.0,4.2115,4.0829554,220.07819,100.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-02 23:00:00,23,2,3,1,0,0,20.0,8.886499,17.632978,190.44907,69.0,0.0,7.8865004,15.636248,196.52338,70.0,0.0,3.9115002,3.7313256,236.10657,98.0,0.0,50.273,0.0,114.5,0.0,73.97859900000002,0.0,73.74,0.0,0
2025-01-03 00:00:00,0,3,4,1,0,0,20.0,8.8615,15.305196,178.66742,74.5,0.0,8.886499,17.632978,190.44907,69.0,0.0,3.7615001,4.1114235,237.94116,92.5,0.0,49.622,50.273,113.2,114.5,74.222351,73.97859900000002,74.45,73.74,0
2025-01-03 01:00:00,1,3,4,1,0,0,20.0,8.761499,16.057562,163.07709,88.5,0.0,8.8615,15.305196,178.66742,74.5,0.0,3.6115,4.4282646,243.01373,89.0,0.0,49.622,50.273,113.2,114.5,74.222351,73.97859900000002,74.45,73.74,0
2025-01-03 02:00:00,2,3,4,1,0,0,20.0,9.8615,13.416752,162.60898,98.0,0.0,8.761499,16.057562,163.07709,88.5,0.0,3.4615002,4.881302,243.28864,89.5,0.0,49.622,50.273,113.2,114.5,74.222351,73.97859900000002,74.45,73.74,0
2025-01-03 03:00:00,3,3,4,1,0,0,20.0,10.2865,14.603595,160.61394,100.0,0.0,9.8615,13.416752,162.60898,98.0,0.0,3.3865001,5.1734996,229.60544,84.0,0.0,49.622,50.273,113.2,114.5,74.222351,73.97859900000002,74.45,73.74,0
