zone,date,hour,day,weekday,month,weekend,season,temperature_2m,wind_speed_10m,wind_direction_10m,cloudcover,shortwave_radiation
AT,2023-05-01,1,1,0,5,0,1,7.5645,8.311245,4.969664,0.0,0.0
AT,2023-05-01,2,1,0,5,0,1,7.5645,7.172949,342.47433,0.0,0.0
AT,2023-05-01,3,1,0,5,0,1,6.6644998,6.830519,341.56494,100.0,0.0
AT,2023-05-01,4,1,0,5,0,1,6.1644998,6.9527545,338.74942,99.0,0.0
AT,2023-05-01,5,1,0,5,0,1,5.5645,6.830519,341.56494,11.0,0.0
AT,2023-05-01,6,1,0,5,0,1,4.8145,6.725354,344.47583,1.0,3.0
AT,2023-05-01,7,1,0,5,0,1,7.1145,3.219938,333.43503,27.0,80.0
AT,2023-05-01,8,1,0,5,0,1,8.4645,1.08,90.0,97.0,234.0
AT,2023-05-01,9,1,0,5,0,1,10.314501,5.6233797,129.80553,100.0,400.0
AT,2023-05-01,10,1,0,5,0,1,12.4645,9.931042,136.46873,100.0,564.0
AT,2023-05-01,11,1,0,5,0,1,14.6145,17.148247,140.9645,100.0,627.0
AT,2023-05-01,12,1,0,5,0,1,16.0145,21.794127,149.19862,48.0,710.0
AT,2023-05-01,13,1,0,5,0,1,17.3645,23.847115,151.11351,94.0,745.0
AT,2023-05-01,14,1,0,5,0,1,18.2645,28.883131,157.27023,100.0,738.0
AT,2023-05-01,15,1,0,5,0,1,18.2145,28.038431,164.3577,100.0,611.0
AT,2023-05-01,16,1,0,5,0,1,18.0145,27.595825,164.87595,100.0,350.0
AT,2023-05-01,17,1,0,5,0,1,18.2145,25.772078,167.90526,100.0,377.0
AT,2023-05-01,18,1,0,5,0,1,17.8145,20.833395,170.04944,100.0,219.0
AT,2023-05-01,19,1,0,5,0,1,16.5145,16.766108,165.06853,100.0,137.0
AT,2023-05-01,20,1,0,5,0,1,15.3645,14.182355,156.0375,100.0,33.0
AT,2023-05-01,21,1,0,5,0,1,14.1645,12.864649,162.07199,100.0,0.0
AT,2023-05-01,22,1,0,5,0,1,13.4645,12.620554,176.72958,100.0,0.0
AT,2023-05-01,23,1,0,5,0,1,12.7145,11.304229,189.16228,100.0,0.0
AT,2023-05-02,0,2,1,5,0,1,11.264501,9.346143,195.6423,100.0,0.0
AT,2023-05-02,1,2,1,5,0,1,10.4645,7.42159,202.8337,99.0,0.0
AT,2023-05-02,2,2,1,5,0,1,10.9645,7.0911775,246.0375,100.0,0.0
AT,2023-05-02,3,2,1,5,0,1,11.6145,7.9932976,277.76508,100.0,0.0
AT,2023-05-02,4,2,1,5,0,1,11.264501,8.049845,280.30478,97.0,0.0
AT,2023-05-02,5,2,1,5,0,1,12.264501,13.207634,287.44727,100.0,0.0
AT,2023-05-02,6,2,1,5,0,1,12.014501,15.827721,287.19864,98.0,3.0
AT,2023-05-02,7,2,1,5,0,1,12.814501,15.141414,288.00424,98.0,59.0
AT,2023-05-02,8,2,1,5,0,1,13.7145,12.88981,305.9098,100.0,139.0
AT,2023-05-02,9,2,1,5,0,1,14.314501,17.581125,312.5104,100.0,237.0
AT,2023-05-02,10,2,1,5,0,1,14.8645,16.563911,317.64258,100.0,352.0
AT,2023-05-02,11,2,1,5,0,1,15.4645,13.608762,322.52374,100.0,413.0
AT,2023-05-02,12,2,1,5,0,1,16.0145,14.113652,322.25314,100.0,382.0
AT,2023-05-02,13,2,1,5,0,1,16.2145,15.30741,318.81415,100.0,390.0
AT,2023-05-02,14,2,1,5,0,1,16.6145,17.654688,320.79282,100.0,520.0
AT,2023-05-02,15,2,1,5,0,1,16.0645,15.7908325,316.8476,100.0,287.0
AT,2023-05-02,16,2,1,5,0,1,15.564501,16.08761,310.46216,100.0,202.0
AT,2023-05-02,17,2,1,5,0,1,15.1645,16.363178,309.64413,100.0,133.0
AT,2023-05-02,18,2,1,5,0,1,14.3645,18.947083,308.82983,100.0,109.0
AT,2023-05-02,19,2,1,5,0,1,13.814501,17.309975,315.0001,100.0,57.0
AT,2023-05-02,20,2,1,5,0,1,13.1145,15.580141,310.31403,100.0,15.0
AT,2023-05-02,21,2,1,5,0,1,12.764501,15.856354,309.47244,100.0,0.0
AT,2023-05-02,22,2,1,5,0,1,12.564501,16.80857,313.26434,100.0,0.0
AT,2023-05-02,23,2,1,5,0,1,12.1645,17.057314,314.145,100.0,0.0
AT,2023-05-03,0,3,2,5,0,1,11.8645,15.856354,320.52756,100.0,0.0
AT,2023-05-03,1,3,2,5,0,1,11.6645,15.546833,317.8156,100.0,0.0
AT,2023-05-03,2,3,2,5,0,1,11.4645,15.408671,307.40543,100.0,0.0
AT,2023-05-03,3,3,2,5,0,1,11.264501,16.199999,306.86996,100.0,0.0
AT,2023-05-03,4,3,2,5,0,1,11.1145,17.654688,309.20718,100.0,0.0
AT,2023-05-03,5,3,2,5,0,1,10.764501,17.377226,309.9575,100.0,0.0
AT,2023-05-03,6,3,2,5,0,1,10.4645,16.548256,314.11868,100.0,3.0
AT,2023-05-03,7,3,2,5,0,1,10.9645,17.610588,319.1447,100.0,52.0
AT,2023-05-03,8,3,2,5,0,1,11.9645,18.678415,332.44727,100.0,161.0
AT,2023-05-03,9,3,2,5,0,1,12.8645,23.0653,357.31628,100.0,254.0
AT,2023-05-03,10,3,2,5,0,1,13.6645,22.505037,7.3522935,100.0,327.0
AT,2023-05-03,11,3,2,5,0,1,14.2145,20.774214,8.97255,100.0,366.0
AT,2023-05-03,12,3,2,5,0,1,15.8645,21.313093,15.679591,97.0,652.0
AT,2023-05-03,13,3,2,5,0,1,16.414501,21.659918,15.42223,100.0,656.0
AT,2023-05-03,14,3,2,5,0,1,16.5145,20.418695,9.13011,100.0,570.0
AT,2023-05-03,15,3,2,5,0,1,16.3145,18.947083,14.300317,100.0,435.0
AT,2023-05-03,16,3,2,5,0,1,16.7145,16.746773,25.463305,99.0,381.0
AT,2023-05-03,17,3,2,5,0,1,15.6145,18.079027,35.272507,90.0,267.0
AT,2023-05-03,18,3,2,5,0,1,15.1145,14.039999,22.61991,34.0,214.0
AT,2023-05-03,19,3,2,5,0,1,14.6645,12.397806,25.820946,36.0,148.0
AT,2023-05-03,20,3,2,5,0,1,12.814501,11.165805,20.772345,24.0,47.0
AT,2023-05-03,21,3,2,5,0,1,11.4645,10.308831,12.094739,14.0,0.0
AT,2023-05-03,22,3,2,5,0,1,10.4645,9.0,360.0,2.0,0.0
AT,2023-05-03,23,3,2,5,0,1,9.4645,8.654986,343.0724,1.0,0.0
AT,2023-05-04,0,4,3,5,0,1,8.814501,9.83268,336.2505,0.0,0.0
AT,2023-05-04,1,4,3,5,0,1,8.314501,10.805998,330.01843,0.0,0.0
AT,2023-05-04,2,4,3,5,0,1,8.8645,12.229406,317.38596,0.0,0.0
AT,2023-05-04,3,4,3,5,0,1,8.3645,11.988594,311.3477,21.0,0.0
AT,2023-05-04,4,4,3,5,0,1,7.8145,11.720751,312.5104,6.0,0.0
AT,2023-05-04,5,4,3,5,0,1,7.3145,12.261157,310.2363,0.0,0.0
AT,2023-05-04,6,4,3,5,0,1,7.0145,13.608762,307.47626,0.0,5.0
AT,2023-05-04,7,4,3,5,0,1,8.2145,16.595179,310.60123,0.0,89.0
AT,2023-05-04,8,4,3,5,0,1,9.8645,15.546833,317.8156,0.0,246.0
AT,2023-05-04,9,4,3,5,0,1,11.6645,13.979872,325.4914,0.0,421.0
AT,2023-05-04,10,4,3,5,0,1,13.314501,13.70839,330.06857,0.0,583.0
AT,2023-05-04,11,4,3,5,0,1,14.8645,13.32,341.07526,0.0,716.0
AT,2023-05-04,12,4,3,5,0,1,15.9645,12.287555,354.95764,0.0,808.0
AT,2023-05-04,13,4,3,5,0,1,16.8145,11.525623,1.7898695,11.0,873.0
AT,2023-05-04,14,4,3,5,0,1,17.4645,11.304229,350.8377,70.0,832.0
AT,2023-05-04,15,4,3,5,0,1,17.8145,10.538843,352.14676,19.0,790.0
AT,2023-05-04,16,4,3,5,0,1,18.0145,11.252519,352.6477,100.0,684.0
AT,2023-05-04,17,4,3,5,0,1,17.8645,10.446206,1.9748993,100.0,532.0
